Prompt,Threshold,Detections,Average Confidence,Maximum Confidence,Minimum Confidence,Inference Time
phone,0.1,5,0.32,0.418,0.215,7.825
phone,0.2,5,0.32,0.418,0.215,7.469
phone,0.3,3,0.37,0.418,0.317,7.519
phone,0.4,1,0.418,0.418,0.418,14.416
phone,0.5,0,0.0,0.0,0.0,11.823
phone,0.6,0,0.0,0.0,0.0,7.553
phone,0.7,0,0.0,0.0,0.0,7.66
phone,0.8,0,0.0,0.0,0.0,7.83
phone,0.9,0,0.0,0.0,0.0,7.964
mobile phone,0.1,5,0.285,0.368,0.201,7.698
mobile phone,0.2,5,0.285,0.368,0.201,8.038
mobile phone,0.3,2,0.343,0.368,0.318,7.845
mobile phone,0.4,0,0.0,0.0,0.0,7.871
mobile phone,0.5,0,0.0,0.0,0.0,9.459
mobile phone,0.6,0,0.0,0.0,0.0,15.151
mobile phone,0.7,0,0.0,0.0,0.0,15.603
mobile phone,0.8,0,0.0,0.0,0.0,9.723
mobile phone,0.9,0,0.0,0.0,0.0,15.364
smartphone,0.1,6,0.318,0.459,0.112,15.501
smartphone,0.2,5,0.36,0.459,0.25,15.896
smartphone,0.3,4,0.387,0.459,0.324,16.014
smartphone,0.4,2,0.43,0.459,0.402,15.714
smartphone,0.5,0,0.0,0.0,0.0,15.613
smartphone,0.6,0,0.0,0.0,0.0,15.755
smartphone,0.7,0,0.0,0.0,0.0,15.164
smartphone,0.8,0,0.0,0.0,0.0,14.924
smartphone,0.9,0,0.0,0.0,0.0,15.155
cell phone,0.1,7,0.294,0.468,0.1,10.295
cell phone,0.2,5,0.368,0.468,0.257,8.396
cell phone,0.3,4,0.396,0.468,0.329,7.891
cell phone,0.4,2,0.44,0.468,0.412,13.481
cell phone,0.5,0,0.0,0.0,0.0,13.968
cell phone,0.6,0,0.0,0.0,0.0,9.174
cell phone,0.7,0,0.0,0.0,0.0,11.756
cell phone,0.8,0,0.0,0.0,0.0,15.636
cell phone,0.9,0,0.0,0.0,0.0,14.414
black mobile phone,0.1,6,0.319,0.486,0.106,10.186
black mobile phone,0.2,5,0.362,0.486,0.242,15.198
black mobile phone,0.3,4,0.392,0.486,0.327,15.155
black mobile phone,0.4,1,0.486,0.486,0.486,9.478
black mobile phone,0.5,0,0.0,0.0,0.0,9.011
black mobile phone,0.6,0,0.0,0.0,0.0,8.062
black mobile phone,0.7,0,0.0,0.0,0.0,8.004
black mobile phone,0.8,0,0.0,0.0,0.0,8.089
black mobile phone,0.9,0,0.0,0.0,0.0,7.974
phones,0.1,6,0.401,0.524,0.136,7.932
phones,0.2,5,0.453,0.524,0.365,7.959
phones,0.3,5,0.453,0.524,0.365,12.471
phones,0.4,4,0.476,0.524,0.425,18.086
phones,0.5,1,0.524,0.524,0.524,18.016
phones,0.6,0,0.0,0.0,0.0,16.166
phones,0.7,0,0.0,0.0,0.0,15.81
phones,0.8,0,0.0,0.0,0.0,15.92
phones,0.9,0,0.0,0.0,0.0,15.989
